energy_eV,sample_background_counts_fit,ob_background_counts_fit
0.171254955954,357.583278762,408.416717673
0.171912788221,358.041876681,408.840591942
0.172573147384,358.507885402,409.271684666
0.173236043148,358.981337021,409.710026971
0.173901485257,359.462263561,410.155649857
0.174569483492,359.950696975,410.608584197
0.175240047672,360.446669145,411.068860736
0.175913187654,360.950211883,411.536510097
0.176588913331,361.461356934,412.011562777
0.177267234636,361.980135975,412.494049152
0.17794816154,362.506580613,412.983999475
0.178631704051,363.040722391,413.481443878
0.179317872216,363.582592785,413.986412373
0.180006676121,364.132223205,414.498934851
0.180698125891,364.689644996,415.019041087
0.18139223169,365.254889436,415.546760734
0.182089003718,365.827987739,416.082123329
0.182788452219,366.408971055,416.625158291
0.183490587473,366.997870467,417.175894921
0.1841954198,367.594716995,417.734362406
0.184902959562,368.19954159,418.300589812
0.185613217157,368.812375143,418.874606091
0.186326203025,369.433248473,419.45644008
0.187041927647,370.062192339,420.046120496
0.187760401543,370.699237427,420.643675943
0.188481635273,371.344414361,421.249134907
0.189205639439,371.997753694,421.862525756
0.189932424682,372.659285912,422.483876745
0.190662001685,373.329041429,423.113216007
0.191394381173,374.007050592,423.750571561
0.192129573909,374.693343674,424.395971306
0.192867590702,375.387950877,425.049443024
0.193608442397,376.090902328,425.711014376
0.194352139886,376.802228081,426.380712904
0.195098694099,377.521958112,427.05856603
0.195848116009,378.25012232,427.744601053
0.196600416633,378.986750525,428.438845152
0.197355607029,379.731872466,429.141325382
0.198113698295,380.485517801,429.852068671
0.198874701576,381.247716101,430.571101825
0.199638628057,382.018496854,431.298451522
0.200405488967,382.797889457,432.034144313
0.201175295578,383.58592322,432.778206619
0.201948059204,384.382627358,433.53066473
0.202723791205,385.188030993,434.291544806
0.203502502983,386.002163151,435.06087287
0.204284205984,386.825052758,435.838674814
0.205068911698,387.656728637,436.62497639
0.205856631658,388.49721951,437.419803211
0.206647377444,389.346553988,438.223180752
0.207441160679,390.204760577,439.035134344
0.208237993029,391.071867667,439.855689173
0.209037886208,391.947903534,440.684870279
0.209840851973,392.832896335,441.522702554
0.210646902126,393.726874106,442.369210737
0.211456048515,394.629864756,443.224419415
0.212268303034,395.54189607,444.08835302
0.213083677622,396.462995697,444.961035824
0.213902184263,397.393191153,445.842491939
0.214723834989,398.332509816,446.732745315
0.215548641877,399.28097892,447.631819733
0.21637661705,400.238625553,448.539738809
0.217207772679,401.205476654,449.456525983
0.21804212098,402.181559007,450.382204523
0.218879674218,403.166899239,451.316797519
0.219720444703,404.161523813,452.260327881
0.220564444794,405.165459027,453.212818333
0.221411686895,406.178731008,454.174291414
0.222262183462,407.201365706,455.14476947
0.223115946994,408.233388894,456.124274656
0.223972990041,409.274826159,457.112828927
0.224833325201,410.325702897,458.11045404
0.225696965119,411.386044314,459.117171544
0.22656392249,412.455875415,460.133002784
0.227434210056,413.535221,461.157968888
0.22830784061,414.624105662,462.192090772
0.229184826994,415.722553779,463.235389132
0.230065182097,416.830589509,464.287884437
0.23094891886,417.948236788,465.349596931
0.231836050272,419.075519319,466.420546626
0.232726589374,420.212460569,467.500753296
0.233620549254,421.359083766,468.590236475
0.234517943054,422.515411889,469.689015453
0.235418783963,423.681467665,470.79710927
0.236323085223,424.857273562,471.914536711
0.237230860126,426.042851784,473.041316304
0.238142122015,427.238224262,474.177466313
0.239056884284,428.443412651,475.323004733
0.239975160379,429.658438325,476.477949289
0.240896963797,430.883322364,477.642317425
0.241822308089,432.118085556,478.816126305
0.242751206855,433.362748384,479.999392804
0.243683673749,434.617331023,481.192133503
0.244619722477,435.881853331,482.394364688
0.245559366797,437.156334844,483.606102338
0.246502620521,438.44079477,484.827362128
0.247449497515,439.735251978,486.058159414
0.248400011695,441.039724994,487.298509237
0.249354177033,442.354231996,488.54842631
0.250312007554,443.678790801,489.807925017
0.251273517336,445.013418863,491.077019406
0.252238720514,446.358133263,492.355723182
